ticket_id,cst_id,prd_key,emp_id,issue_category,status,open_date,resolution_date
TKT-00024,29032,PD-R347,EMP058,account,Pending,2019-12-02,
TKT-00025,999999,BK-R50R-60,EMP051,Returns,Closed,10/27/2021,2022-02-20
TKT-00026,22319,RW-M928,EMP131,Account,RESOLVED,2018-08-19,2018-10-05
TKT-00027,20885,BK-R68R-58,EMP104,Billing,Closed,2015-06-25,2015-07-25
TKT-00028,21904,,EMP156,Technical,Closed,2018-02-10,2018-05-30
TKT-00029,24540,PU-M044,,Shipping,Resolved,07/30/2020,11/16/2020
TKT-00030,27622,BK-R50B-58,EMP182,Technical,Rsolvd,2017-03-06,05/16/2017
TKT-00031,21366,FR-R92R-62,EMP105,returns,open,09/13/2012,
TKT-00032,23406,FE-6654,EMP214,Shipping,Opened,2015-08-02,
TKT-00033,12611,TG-W091-L,EMP149,RETURNS,Closed,2022-08-01,09/04/2022
TKT-00034,29380,FR-T98Y-54,EMP053,account,CLOSED,05/12/2016,2016-07-24
TKT-00035,23813,BK-T79U-60,EMP192,Returns,Opened,06/29/2013,
TKT-00036,16532,FR-M21B-40,EMP113,Billing,Open,11/19/2014,
TKT-00037,14692,HL-U509-R,EMP261,Returns,Resolved,2019-12-21,2020-01-06
TKT-00038,,TT-T092,EMP081,Technical,Rsolvd,2018-04-26,2018-07-08
TKT-00039,13697,BK-R93R-48,EMP287,Account,open,12/23/2017,
TKT-00040,11720,HY-1023-70,EMP236,Product,Open,2020-08-16,
TKT-00041,28637,FW-M928,EMP205,Returns,o,2013-03-03,
TKT-00042,26997,,EMP151,Product,Pending,11/06/2020,
TKT-00043,16320,BK-R64Y-38,EMP229,Technical,Pend,2023-06-23,
TKT-00044,13575,SB-M891-S,EMP074,shipping,Opened,2023-02-22,
TKT-00045,11243,PA-T100,EMP225,Shipping,Closed,2012-09-30,2012-10-01
TKT-00046,12101,BK-R79Y-42,EMP095,Returns,Pending,2017-01-05,
TKT-00047,28616,FR-M94S-52,EMP196,Shipping,Open,2023-05-04,
TKT-00048,26821,FR-T98U-46,EMP066,Account,Pending,08/15/2011,
TKT-00049,22346,BK-R68R-44,EMP093,Technical,Closed,2021-01-22,03/20/2021
TKT-00050,28955,BK-R50B-62,EMP071,Shipping,Closed,08/21/2022,12/11/2022
TKT-00051,21574,FR-R72Y-48,EMP295,Account,Resolved,2011-06-24,2011-09-25
TKT-00052,,HL-U509-B,EMP071,Shipping,Pending,2011-02-02,
TKT-00053,19970,RW-R623,EMP260,Returns,Closed,2014-07-08,09/09/2014
TKT-00054,11368,BK-R68R-58,EMP090,Technical,Pending,01/20/2014,
TKT-00055,27793,BK-R93R-48,EMP134,BILLING,Open,2011-10-06,
TKT-00056,20818,HB-R504,EMP019,Billing,Resolved,12/24/2022,2023-01-07
TKT-00057,23444,BK-R93R-56,,Returns,In Progress,2024-02-18,
TKT-00058,12637,BC-M005,EMP100,Billing,Close,2020-05-06,2020-09-01
TKT-00059,25965,LT-H903,EMP057,Account,Open,01/26/2024,
TKT-00060,20689,SE-T762,EMP069,Product,Pending,06/25/2011,
TKT-00061,24961,RW-R820,EMP122,Product,Pend,2020-11-26,
TKT-00062,27064,BK-M18S-44,EMP099,Account,open,2023-09-19,
TKT-00063,21617,BK_R79Y_40,EMP263,Billing,Resolved,2012-12-24,03/11/2013
TKT-00064,12542,RD-2308,EMP186,Product,Open,2021-07-18,
TKT-00065,22088,BK-R68R-58,EMP287,Product,Resolved,07/21/2016,11/03/2016
TKT-00066,18249,BK-R89B-44,EMP162,Billing,resolved,2013-08-07,08/22/2013
TKT-00067,22075,FR-M63S-38,EMP205,Shipping,Pending,2013-08-21,
TKT-00068,23779,BK-R89B-52,EMP116,Account,resolved,2011-07-10,2011-10-16
TKT-00069,12903,FK-1639,EMP293,Technical,Closed,2017-02-01,2017-03-04
TKT-00070,21296,BK-T18U-54,EMP066,Product,Resolved,05/30/2018,2018-09-17
TKT-00071,22349,BK-R19B-58,EMP023,General,resolved,2017-01-18,2017-03-06
TKT-00072,17714,,EMP145,Billing,Open,2012-07-23,
TKT-00073,,LJ-0192-X,EMP283,Product,Closed,2015-04-11,2015-04-22
TKT-00074,23758,FR-M94S-46,EMP126,Product,Resolved,2011-01-24,2011-03-09
TKT-00075,999999,FR-M94S-52,EMP200,Returns,Open,2013-05-06,
TKT-00076,14209,,EMP173,Product,closed,2011-07-28,2011-10-06
TKT-00077,19897,FR-R72R-60,EMP101,Billing,Resolved,2020-09-30,2020-11-19
TKT-00078,19053,FW-M762,EMP080,Account,Resolved,2023-04-19,2023-06-24
TKT-00079,29281,BK-R19B-58,EMP246,Billing,o,2011-07-07,
TKT-00080,14954,BK-T44U-50,EMP093,Shipping,RESOLVED,2023-03-17,2023-04-01
TKT-00081,14811,FR-T67U-58,EMP193,Account,Pending,02/02/2021,
TKT-00082,21192,FR-M21B-52,EMP010,Billing,Close,2014-02-12,05/26/2014
TKT-00083,21340,FR-R92R-56,EMP187,Returns,Opened,2020-11-17,
TKT-00084,22562,WB-H098,EMP010,RETURNS,Open,2016-12-07,
TKT-00085,11703,BK-M18B-44,EMP092,Product,RESOLVED,2014-03-31,2014-07-16
TKT-00086,25966,FR_T67Y_58,EMP027,Returns,Resolved,2020-01-09,2020-03-12
TKT-00087,20748,BK-R68R-60,EMP171,Returns,Pending,2011-03-16,
TKT-00088,29265,BK-T18U-50,EMP251,Shipping,Closed,01/07/2016,2016-02-18
TKT-00089,27763,TI-M823,EMP244,Billing,Opened,2020-04-23,
TKT-00090,18501,FR-R92B-44,EMP237,Technical,Resolved,07/13/2018,2018-09-16
TKT-00091,25241,FR-R92R-44,EMP074,Account,RESOLVED,02/14/2011,2011-02-25
TKT-00092,15194,BK-T18U-50,EMP029,Technical,Close,12/30/2015,2016-01-05
TKT-00093,26435,TG_W091_M,EMP198,Technical,Open,2012-09-27,
TKT-00094,27616,FR-M63B-38,EMP293,General,Closed,2013-05-22,2013-08-30
TKT-00095,18759,FR-M94S-46,EMP081,Account,Close,03/01/2024,2024-04-24
TKT-00096,13068,BK-M82B-42,EMP027,Technical,Open,2013-02-26,
TKT-00097,27826,HS-0296,EMP045,Account,closed,07/02/2018,2018-08-15
TKT-00098,13870,SB-M891-M,EMP288,Technical,Clsd,2015-05-17,2015-06-24
TKT-00099,13371,TI-R982,EMP182,Product,Clsd,2020-10-19,2021-01-22
TKT-00100,15932,BC-R205,EMP257,Billing,Open,2016-02-13,
TKT-00101,26714,FR-R38B-62,EMP181,Shipping,PENDING,2024-11-16,
TKT-00102,11190,FR-M63B-48,EMP071,Technical,pending,2013-01-20,
TKT-00103,18470,HB-M243,EMP190,billing,o,2024-12-18,
TKT-00104,16237,BK-M82S-42,EMP087,Shipping,CLOSED,2024-10-21,2025-02-18
TKT-00105,26438,HS-2451,EMP064,Account,Open,2016-07-04,
TKT-00106,14759,SE-M236,EMP176,Technical,RESOLVED,2017-12-25,2018-03-10
TKT-00107,24123,HS-3479,EMP191,Technical,Pending,2015-01-27,
TKT-00108,28344,FR-M21B-40,EMP005,Technical,Opened,2015-01-25,
TKT-00109,28838,PD-R347,EMP231,Shipping,Resolved,2019-12-12,2020-01-22
TKT-00110,16380,FR-R38B-60,EMP040,Technical,Pending,2017-08-17,
TKT-00111,25862,BK-M82S-42,EMP269,Technical,o,2023-03-16,
TKT-00112,16181,CH-0234,EMP144,Product,Opened,2017-03-30,
TKT-00113,20898,FR-T67Y-50,EMP165,Shipping,Closed,2016-11-20,2016-12-13
TKT-00114,14049,BK-R50B-52,EMP117,Technical,Pending,2017-01-19,
TKT-00115,25440,BB-9108,EMP072,Technical,Pending,2018-03-27,
TKT-00116,15826,PD_M562,EMP234,Technical,pending,04/08/2020,
TKT-00117,18134,FR-T67U-54,EMP114,Technical,Pending,2014-08-11,
TKT-00118,17950,BK_R68R_58,EMP102,Returns,Open,08/29/2023,
TKT-00119,17906,BK-R79Y-42,EMP265,Shipping,Pending,2018-03-21,
TKT-00120,23819,SO-B909-L,EMP220,Billing,pending,2018-06-26,
TKT-00121,24335,BK-R68R-48,EMP209,BILLING,Pending,2014-12-22,
TKT-00122,15034,VE-C304-M,EMP187,Billing,CLOSED,2017-01-08,2017-03-25
TKT-00123,13283,BK-R50R-60,EMP139,Shipping,Closed,2011-01-28,2011-02-09
TKT-00124,28079,BK-T44U-60,EMP043,Billing,Open,01/10/2019,
TKT-00125,29142,FR-T67U-62,EMP082,Product,Closed,11/21/2011,2011-12-13
TKT-00126,27377,GL-F110-M,EMP214,General,Closed,2023-04-13,2023-05-04
TKT-00127,20487,PD-M282,EMP255,Returns,Closed,2017-08-02,2017-10-16
TKT-00128,22470,BC-M005,EMP177,billing,Open,2014-08-18,
TKT-00129,17505,GL-F110-L,EMP247,Billing,Resolved,2018-05-13,2018-09-08
TKT-00130,13828,GL-H102-M,EMP139,billing,Closed,01/28/2022,2022-02-21
TKT-00131,18441,PRD-PU-M044,EMP291,Account,Clsd,2018-11-21,2019-01-01
TKT-00132,20343,BK-T79U-50,EMP111,Account,Open,2014-07-26,
TKT-00133,20238,BK-R93R-62,EMP281,Product,Pending,02/11/2020,
TKT-00134,28315,,EMP181,SHIPPING,Clsd,01/14/2015,2015-03-23
TKT-00135,12048,SH-M897-M,EMP136,General,OPEN,09/10/2020,
TKT-00136,18653,PD-M282,EMP139,Product,Clsd,01/05/2012,04/26/2012
TKT-00137,22453,PRD-BK-M47B-44,,SHIPPING,Pending,2016-02-01,
TKT-00138,29381,BK-T44U-46,EMP197,Product,Resolve,05/27/2024,2024-05-31
TKT-00139,20696,FR-M21B-48,EMP164,Billing,Closed,2013-05-05,2013-06-08
TKT-00140,27980,PRD-BK-M18S-40,EMP213,Product,closed,2014-01-01,2014-03-18
TKT-00141,12109,PU-M044,EMP008,Shipping,Resolved,2020-01-21,2020-04-19
TKT-00142,21153,FR-R38B-60,EMP100,Account,Clsd,10/09/2017,2017-10-27
TKT-00143,25965,BK-R93R-52,EMP149,billing,open,2020-11-19,
TKT-00144,17749,FR-R38B-60,EMP037,Product,Pending,02/12/2013,
TKT-00145,23093,FW-R623,EMP039,billing,Open,2022-09-17,
TKT-00146,16371,BK-R93R-48,EMP093,Shipping,Open,2012-11-01,
TKT-00147,29241,FR_R38B_52,EMP037,Technical,Open,2013-01-05,
TKT-00148,13676,VE-C304-M,EMP052,account,Pending,2023-10-03,
TKT-00149,19981,RD_2308,EMP037,Technical,Closed,02/02/2023,2023-02-22
TKT-00150,27676,FR-M94S-38,EMP273,Product,Resolved,2017-01-14,2017-04-18
TKT-00151,19995,FR-T67U-50,EMP093,Shipping,Close,2025-02-11,02/28/2025
TKT-00152,25299,BK-T18U-50,,Account,Open,2021-04-19,
TKT-00153,18716,BK-M68B-42,EMP269,General,Resolve,2016-05-26,06/22/2016
TKT-00154,22482,FR-T67U-58,EMP026,Returns,Pending,2011-06-16,
TKT-00155,21557,SE-T762,EMP162,Technical,RESOLVED,2014-06-12,2014-08-09
TKT-00156,23403,SH-M897-X,EMP156,Account,Resolved,2012-03-28,2012-05-01
TKT-00157,27074,FR-T98U-60,EMP228,Billing,Pending,2013-11-24,
TKT-00158,11372,TG-W091-M,EMP250,Returns,Resolved,2021-10-21,01/23/2022
TKT-00159,21291,BK-M38S-40,EMP097,technical,Open,2022-07-12,
TKT-00160,11684,PRD-BK-T18U-44,EMP094,Product,Open,2014-09-25,
TKT-00161,19488,SE-M798,EMP032,Returns,Pending,2012-10-29,
TKT-00162,19880,FR-T98U-60,EMP103,Billing,Resolved,10/02/2017,11/26/2017
TKT-00163,25572,BK-M82S-38,EMP212,Technical,Resolve,2013-06-27,2013-07-28
TKT-00164,21420,TI-M267,EMP190,Account,Closed,2013-12-11,2013-12-31
TKT-00165,27905,PRD-BK-R64Y-40,EMP089,billing,Pending,2024-10-03,
TKT-00166,12043,BK-M47B-40,EMP029,Returns,Opened,10/27/2020,
TKT-00167,15753,FR-T67U-44,,Product,Pending,2011-01-17,
TKT-00168,18968,BK-R89R-52,EMP268,Shipping,Resolved,11/29/2021,2021-12-11
TKT-00169,18679,TI-R628,EMP264,Account,Pending,2011-11-02,
TKT-00170,20536,BK-R89B-44,EMP154,Product,Resolved,05/08/2013,2013-07-26
TKT-00171,14925,FR-M94B-46,EMP084,Technical,Open,11/19/2023,
TKT-00172,16239,FR_R72R_52,EMP064,General,open,2021-01-06,
TKT-00173,11745,FR-M21B-48,EMP208,Returns,Close,2021-10-06,2021-11-07
TKT-00174,20950,SH-W890-L,EMP269,Returns,Open,01/04/2022,
TKT-00175,26997,FR-R72Y-42,EMP272,Billing,Open,09/19/2014,
TKT-00176,15441,BK-R68R-44,,Technical,Closed,2022-12-18,02/18/2023
TKT-00177,21255,PD-M282,EMP104,Billing,closed,2022-06-06,09/24/2022
TKT-00178,17743,FR-M63B-40,EMP082,shipping,Pending,08/25/2011,
TKT-00179,27870,HL-U509,EMP264,Product,Pending,2023-09-12,
TKT-00180,16813,FR-R72R-52,EMP022,Product,Open,2022-09-15,
TKT-00181,28678,SJ-0194-L,EMP018,Technical,Resolved,2021-04-26,2021-07-07
TKT-00182,18293,FW-R820,EMP137,Returns,Resolved,2021-06-28,2021-09-20
TKT-00183,24335,HS-2451,EMP035,Billing,Closed,2011-12-13,2011-12-27
TKT-00184,16743,FR-T67U-54,EMP267,Account,Resolved,2014-01-15,2014-02-28
TKT-00185,15299,RW-T905,EMP097,Returns,resolved,2019-05-09,2019-05-30
TKT-00186,26963,BK-R93R-56,EMP142,Technical,Open,2019-08-29,
TKT-00187,28764,FW-M762,EMP232,Billing,Resolved,2013-06-16,2013-09-08
TKT-00188,22551,BK-R19B-44,EMP176,Product,Resolved,2012-05-14,2012-08-01
TKT-00189,28497,BK-R89B-58,EMP154,Account,Resolved,2014-07-20,2014-10-07
TKT-00190,17325,PD-M282,EMP002,billing,Pend,2012-06-11,
TKT-00191,,FR-M94B-38,EMP064,account,Resolved,2014-07-05,2014-10-07
TKT-00192,28694,FR-T98Y-60,EMP169,Billing,Resolved,2025-01-02,2025-01-28
TKT-00193,19460,BK-R50B-44,EMP151,Account,resolved,2014-08-06,2014-10-02
TKT-00194,16724,PRD-GL-F110-M,EMP244,BILLING,Open,2017-12-29,
TKT-00195,29286,FR_M21B_42,EMP069,General,Pending,2019-06-07,
TKT-00196,28428,RA-H123,EMP296,Billing,PENDING,07/27/2024,
TKT-00197,17694,FR-R92R-48,EMP261,Returns,Pending,2014-12-19,
TKT-00198,13701,FR-M63B-44,EMP293,Billing,Resolved,09/06/2012,2012-09-11
TKT-00199,21637,TI-M823,EMP222,Billing,pending,05/20/2022,
TKT-00200,26967,HB-M763,EMP136,Billing,Clsd,2014-10-06,11/21/2014
TKT-00201,19046,BK-R89B-48,EMP265,Account,Open,2017-07-17,
TKT-00202,24726,PA-T100,,RETURNS,Resolved,2024-05-20,2024-08-24
TKT-00203,26583,CH-0234,EMP282,SHIPPING,Closed,2013-07-09,2013-08-17
TKT-00204,23477,FR-R38B-60,EMP037,Product,Open,02/04/2017,
TKT-00205,22477,BK-T79Y-60,EMP140,Billing,Resolve,2023-02-07,03/17/2023
TKT-00206,18015,TI-T723,EMP245,Shipping,Open,2021-02-26,
TKT-00207,26526,FR-M94B-42,EMP171,Billing,resolved,2018-07-18,2018-10-05
TKT-00208,16128,FR-R92R-56,EMP143,General,Pending,10/15/2023,
TKT-00209,11389,TI-R092,EMP072,Shipping,Opened,07/12/2021,
TKT-00210,23293,BK-T18Y-58,EMP235,Shipping,Open,2015-07-10,
TKT-00211,16931,PD-T852,EMP022,Returns,Resolved,2014-01-20,2014-02-11
TKT-00212,19985,FR-T67Y-58,EMP190,Shipping,Open,2015-02-02,
TKT-00213,22864,PD-M282,EMP276,Technical,Closed,2017-01-31,2017-04-15
TKT-00214,21748,BK-R79Y-48,EMP124,RETURNS,resolved,2012-11-02,2013-01-26
TKT-00215,27746,RD-2308,EMP285,Account,Closed,2016-09-05,10/26/2016
TKT-00216,19613,TG-W091-L,EMP044,Shipping,Resolved,2012-06-20,10/11/2012
TKT-00217,21702,FR_R72Y_40,EMP211,Billing,Closed,2018-07-13,2018-07-20
TKT-00218,22801,PRD-BK-R89B-58,EMP251,Product,Pending,02/01/2023,
TKT-00219,24954,BK-T18U-54,EMP175,Billing,Pending,2022-05-19,
TKT-00220,20920,BK_M82B_42,EMP239,account,OPEN,2017-07-31,
TKT-00221,26630,FW-M762,EMP182,Account,Pending,2022-05-20,
TKT-00222,23230,FR_T67Y_44,EMP090,Account,Pending,2017-11-29,
TKT-00223,21543,FR-R38R-60,EMP046,BILLING,Closed,08/03/2019,2019-08-24
TKT-00224,28621,PRD-FR-M94B-44,EMP081,Billing,Pending,2016-09-18,
TKT-00225,24840,FR-M94S-52,EMP023,Shipping,Pending,2017-12-06,
TKT-00226,16264,FR-R92R-44,EMP112,Returns,Closed,2016-01-17,2016-02-16
TKT-00227,16068,CS-4759,EMP089,Returns,Resolve,02/18/2025,2025-02-28
TKT-00228,25078,BK-R50B-58,EMP049,Billing,Open,05/27/2014,
TKT-00229,11003,FR-R38B-48,EMP212,Shipping,Open,2023-07-30,
TKT-00230,24305,FR-R92R-58,EMP038,Shipping,PENDING,2022-01-31,
TKT-00231,22327,,EMP157,shipping,Open,05/26/2012,
TKT-00232,14815,BK-M38S-40,EMP085,RETURNS,Open,2024-04-14,
TKT-00233,23922,BK-M68S-42,EMP102,Technical,Open,02/01/2012,
TKT-00234,12456,FW_M762,EMP164,Shipping,Pending,08/21/2017,
TKT-00235,19694,CA-1098,,Returns,CLOSED,07/15/2015,07/28/2015
TKT-00236,21448,VE-C304-L,EMP093,Billing,Resolved,08/08/2012,2012-10-29
TKT-00237,25828,HB-T928,EMP217,Product,Resolved,12/16/2023,2024-02-26
TKT-00238,25872,HB-M243,EMP279,Shipping,Open,2022-10-16,
TKT-00239,24537,BK-M47B-48,EMP009,Billing,Open,2024-06-18,
TKT-00240,13652,BK-M18S-40,EMP179,Returns,Closed,2011-03-03,03/14/2011
TKT-00241,26991,LT-H903,EMP300,Billing,Closed,2012-07-30,2012-07-31
TKT-00242,28867,BK-R68R-44,EMP227,Billing,Closed,12/12/2013,2013-12-21
TKT-00243,11201,BK-R50R-44,EMP189,Billing,Open,2012-05-10,
TKT-00244,21279,SO-B909-L,EMP229,SHIPPING,Resolved,2014-03-10,2014-04-03
TKT-00245,21559,PRD-FR-T67Y-44,EMP010,Shipping,Close,2022-03-02,2022-03-30
TKT-00246,24483,FB-9873,,Shipping,Pending,2022-01-17,
TKT-00247,28185,RD-2308,EMP177,Billing,Close,2014-02-10,2014-02-17
TKT-00248,28074,SH-M897-L,EMP071,Returns,Closed,2014-10-25,2014-12-11
TKT-00249,21058,FR-T67U-62,EMP087,General,Closed,2020-07-18,11/07/2020
TKT-00250,18721,BK-R50R-62,EMP002,Billing,Clsd,2020-03-19,2020-04-21
TKT-00251,11979,BK_R89B_44,EMP157,General,Open,2018-01-27,
TKT-00252,27219,PRD-FR-M94B-46,EMP012,Technical,Closed,2015-11-20,2015-11-25
TKT-00253,18910,BK-T18U-58,EMP012,Billing,Resolved,2021-10-13,02/03/2022
TKT-00254,23854,RW-R820,EMP187,Technical,Resolved,2019-10-02,2019-12-08
TKT-00255,20609,TI-M602,EMP181,Billing,Pending,04/14/2014,
TKT-00256,24363,BK-M18S-44,EMP100,Account,Open,2020-07-08,
TKT-00257,22642,BK_M82S_38,EMP289,Returns,Pending,2015-01-27,
TKT-00258,18287,SE-R908,EMP117,Billing,Closed,2017-07-02,2017-09-16
TKT-00259,23288,HB-R720,EMP180,Product,Closed,06/22/2021,2021-07-18
TKT-00260,25147,FW-R762,EMP269,Billing,Clsd,09/01/2020,2020-10-17
TKT-00261,13222,CS-9183,EMP017,Product,open,06/11/2022,
TKT-00262,14371,BK-M18S-44,EMP300,Returns,open,2020-02-27,
TKT-00263,11691,FR-R92R-62,EMP184,SHIPPING,Closed,2013-03-04,2013-03-10
TKT-00264,28858,RW-R820,EMP203,General,Open,2023-06-11,
TKT-00265,999999,BK-T44U-60,EMP241,billing,closed,2015-03-05,2015-06-26
TKT-00266,24302,SH-W890-L,EMP199,Product,PENDING,2013-03-01,
TKT-00267,26776,FR-R38B-58,EMP082,Account,Close,2013-10-24,01/27/2014
TKT-00268,20744,BK-T44U-46,,Billing,Closed,02/20/2022,2022-05-22
TKT-00269,19074,BK-M38S-38,EMP066,shipping,Closed,10/20/2011,02/01/2012
TKT-00270,29470,BK-R89R-58,EMP109,account,Close,2020-12-06,12/24/2020
TKT-00271,20169,BK-T18Y-50,EMP039,Returns,Resolved,2021-03-15,2021-07-05
TKT-00272,28515,VE-C304-S,EMP161,BILLING,Resolved,2015-04-02,2015-04-16
TKT-00273,22764,FR-M94S-42,EMP264,Technical,closed,04/17/2016,2016-06-02
TKT-00274,20119,SO-B909-M,EMP256,Billing,Pending,2019-08-17,
TKT-00275,19847,BK-R89B-52,EMP157,General,resolved,2016-03-31,2016-07-06
TKT-00276,,FR_R72R_52,EMP233,Account,CLOSED,2018-10-11,01/05/2019
TKT-00277,12775,BK-T79Y-54,EMP201,Product,Open,06/05/2023,
TKT-00278,25214,FR-R92B-62,EMP103,Account,open,2017-05-13,
TKT-00279,15027,BK-R50B-48,EMP078,Billing,closed,2023-06-27,2023-07-22
TKT-00280,17550,SO-R809-L,EMP274,Technical,Closed,2018-10-04,2018-11-08
TKT-00281,22062,GL-F110-L,EMP166,product,Resolved,2024-11-16,01/21/2025
TKT-00282,17351,PRD-TI-R628,EMP118,Shipping,Closed,2015-01-30,03/29/2015
TKT-00283,11240,FR-R72Y-42,EMP117,BILLING,Clsd,08/13/2018,10/20/2018
TKT-00284,21976,HL_U509_B,EMP087,RETURNS,resolved,2011-10-02,2012-01-04
TKT-00285,20215,FR-T98Y-60,EMP288,Returns,Closed,10/07/2017,11/24/2017
TKT-00286,12077,FR-R92B-62,EMP218,Technical,Closed,2019-06-21,2019-08-14
TKT-00287,22102,TI-R982,EMP254,Returns,Close,2013-07-24,2013-11-09
TKT-00288,21328,BK-R93R-48,EMP263,Returns,Resolved,01/26/2018,2018-04-11
TKT-00289,13907,FR-R92R-48,EMP211,SHIPPING,Resolved,06/20/2016,2016-10-03
TKT-00290,13677,GL-F110-L,EMP093,Technical,Opened,2021-03-27,
TKT-00291,19491,FR-M63S-38,EMP139,General,Resolve,08/12/2020,2020-09-29
TKT-00292,14133,BK-M18B-40,EMP146,RETURNS,Clsd,2021-04-10,05/26/2021
TKT-00293,19135,FR-T98Y-50,EMP115,Technical,Pending,2018-04-18,
TKT-00294,21966,FE-6654,EMP114,Account,Pending,2017-09-18,
TKT-00295,24988,BK-M18B-42,EMP090,Technical,resolved,2015-11-25,12/25/2015
TKT-00296,23513,FR-R92R-52,EMP109,Returns,Open,09/13/2014,
TKT-00297,20380,BK-R19B-52,EMP180,Product,Pending,2024-10-01,
TKT-00298,13753,BK-R79Y-40,EMP272,Shipping,Pending,11/29/2016,
TKT-00299,25314,SO-B909-M,,Billing,Open,2013-03-06,
TKT-00300,14756,BB-8107,EMP045,Returns,OPEN,2012-04-10,
TKT-00301,29222,FR-T67Y-54,,Account,Open,2012-06-13,
TKT-00302,20805,BK-M38S-46,EMP067,Account,resolved,2017-06-22,2017-07-14
TKT-00303,25545,FR-M21B-44,EMP090,Returns,Closed,03/31/2022,2022-06-12
TKT-00304,11981,FR-R38R-44,EMP147,Technical,Open,09/15/2023,
TKT-00305,21203,TI-M267,EMP066,General,pending,2023-02-27,
TKT-00306,25993,FW_M423,EMP178,Billing,Open,2023-06-02,
TKT-00307,12729,FR-M63B-48,EMP237,Product,PENDING,2018-03-24,
TKT-00308,23692,FR-M94S-44,EMP265,Technical,Pending,2021-11-19,
TKT-00309,13578,FR-R92B-44,EMP274,Product,Closed,2014-12-10,2014-12-21
TKT-00310,22474,BK_M18S_52,EMP208,Billing,Open,2018-06-29,
TKT-00311,17872,FR-T98U-50,EMP274,Account,Pending,2012-04-18,
TKT-00312,25170,SE-T924,EMP161,Returns,pending,2012-03-07,
TKT-00313,14862,FR-M21B-40,EMP271,General,Pending,2020-01-31,
TKT-00314,24851,CS-9183,EMP233,Returns,Closed,01/28/2014,2014-03-09
TKT-00315,17855,WB-H098,EMP297,Technical,Resolved,06/26/2011,07/28/2011
TKT-00316,24011,FW-R623,EMP152,product,Close,2015-03-31,2015-07-20
TKT-00317,11280,BK-M38S-38,EMP229,Shipping,Clsd,2011-06-24,2011-08-22
TKT-00318,15803,BK-R50R-52,EMP169,Shipping,Closed,2019-08-24,11/28/2019
TKT-00319,29084,FR-M63S-38,EMP076,General,Closed,04/21/2012,2012-08-15
TKT-00320,18566,PD-M562,EMP018,Shipping,Pending,08/16/2023,
TKT-00321,27331,BK-M82B-48,EMP237,Account,Pending,2015-11-19,
TKT-00322,22371,BK-R79Y-40,EMP071,Product,Clsd,2012-07-10,2012-08-09
TKT-00323,26541,SH-M897-L,EMP028,BILLING,Resolve,08/27/2017,2017-11-13
TKT-00324,18400,LJ-0192-L,EMP218,Returns,OPEN,2024-12-23,
TKT-00325,25176,BK-R68R-58,,Billing,Pending,2016-08-07,
TKT-00326,25211,BK-T18Y-62,EMP160,Product,Open,2022-03-11,
TKT-00327,20455,RW-M762,EMP170,Returns,Resolved,09/04/2012,2012-09-06
TKT-00328,15952,FR-R92R-56,EMP260,Account,Pending,2018-09-10,
TKT-00329,17892,BK-R93R-56,EMP022,account,Pending,2022-08-13,
TKT-00330,26754,BK-R93R-56,EMP263,Shipping,open,2022-08-21,
TKT-00331,999999,FR-T67U-50,,SHIPPING,Closed,2017-01-16,2017-02-18
TKT-00332,19739,BK-M18B-44,EMP176,Returns,Resolved,2022-03-15,2022-03-21
TKT-00333,17219,BK-M82S-42,EMP052,Billing,Pending,2024-04-17,
