po_number,vendor_id,prd_id,quantity_ordered,unit_cost,order_date
PO-000105,VND-070,574,155,N/A,12/19/2014
PO-000106,VND-099,261,0.7,434.2,07/28/2014
PO-000107,VND-125,476,138,389.42,2019-08-23
PO-000108,VND-060,533,16,202.21,12/24/2022
PO-000109,VND-098,540,113,66.41,2011-11-23
PO-000110,VND-081,602,185,209.38,2016-11-20
PO-000111,VND-029,477,165,231.83,2016-06-14
PO-000112,VND-047,485,85,$351.28,2016-06-27
PO-000113,,376,74,440.68,2024-05-01
PO-000114,VND-098,386,79,222.73,2017-07-13
PO-000115,VND-041,508,59,109.77,2013-11-19
PO-000116,,503,191,N/A,2024-02-08
PO-000117,VND-024,498,151,N/A,2021-09-12
PO-000118,VND-067,575,135,244.58,2019-05-25
PO-000119,VND-043,434,72,365.74,2012-06-14
PO-000120,VND-062,555,233,374.4,06/02/2015
PO-000121,VND-101,432,9,53.93,2022-10-03
PO-000122,VND-075,599,21,33,2012-07-04
PO-000123,VND-035,599,240,126.32,2022-09-23
PO-000124,VND-084,478,24,368.0,03/25/2021
PO-000125,VND-009,436,150,$241.25,2013-12-21
PO-000126,VND-088,281,30,240.64,2012-02-23
PO-000127,VND-067,486,149,452.97,2024-03-21
PO-000128,VND-027,560,158,$496.16,2020-12-05
PO-000129,VND-068,571,130,145.46,2020-02-18
PO-000130,VND-034,497,144,314.83,2016-12-04
PO-000131,VND-044,540,42,381.42,2015-02-01
PO-000132,VND-060,497,138,$100.83,2013-02-13
PO-000133,VND-070,488,136,343.95,03/13/2016
PO-000134,VND-022,492,197,90.03,2015-09-19
PO-000135,VND-072,531,202,364.6,2014-07-11
PO-000136,VND-119,487,79,180.2,2016-11-23
PO-000137,VND-079,510,2,$205.02,02/01/2021
PO-000138,VND-020,526,5,$105.1,2018-12-06
PO-000139,VND-051,228,203,281.24,2016-09-27
PO-000140,VND-060,480,63,362.81,10/28/2015
PO-000141,VND-007,578,246,,2024-04-19
PO-000142,VND-082,506,0.8,271.26,2017-04-13
PO-000143,VND-020,601,199,413.03,05/17/2017
PO-000144,VND-028,553,63,275.56,2024-03-24
PO-000145,VND-041,586,4.3,394.02,2023-06-27
PO-000146,VND-050,524,55,236.82,2018-01-15
PO-000147,VND-097,476,192,76,2018-06-21
PO-000148,VND-112,534,213,456.93,2020-03-19
PO-000149,VND-006,539,84,$248.54,2011-05-13
PO-000150,VND-079,298,200,83.32,2012-07-03
PO-000151,VND-064,566,49,$384.72,2012-12-19
PO-000152,VND-101,382,19,289.74,2017-03-18
PO-000153,VND-055,557,160,$14.34,2020-09-12
PO-000154,VND-119,444,197,231.59,2020-07-31
PO-000155,VND-098,557,198,157.7,2023-11-19
PO-000156,VND-118,240,139,39.29,12/18/2022
PO-000157,VND-028,487,70,460.34,02/29/2016
PO-000158,VND-060,361,97,434.43,08/12/2011
PO-000159,VND-061,522,53,$297.16,2015-09-05
PO-000160,VND-081,595,42,$64.58,2014-12-05
PO-000161,VND-044,516,24,$183.13,2024-07-25
PO-000162,VND-003,211,108,429.46,2013-07-06
PO-000163,VND-059,576,180,323.57,2017-12-14
PO-000164,,480,230,74.66,2021-07-28
PO-000165,,542,178,24.3,2023-08-31
PO-000166,VND-091,485,107,$212.52,2015-09-15
PO-000167,VND-101,581,226,,08/19/2022
PO-000168,VND-043,513,233,N/A,2011-09-03
PO-000169,VND-046,231,9,76.45,2011-08-22
PO-000170,VND-083,594,41,177.59,2023-02-06
PO-000171,VND-016,531,107,N/A,2020-06-01
PO-000172,VND-112,573,2.8,,2014-01-06
PO-000173,VND-050,567,25,375.62,03/30/2018
PO-000174,VND-071,372,37,45.68,2015-05-27
PO-000175,VND-085,309,65,331.39,2020-01-22
PO-000176,VND-072,542,227,450.27,2021-05-13
PO-000177,VND-081,598,9,400.89,2019-05-29
PO-000178,VND-002,378,214,$85.13,2015-06-10
PO-000179,VND-119,498,223,$290.71,2023-10-31
PO-000180,VND-036,549,191,385.41,10/26/2015
PO-000181,VND-026,475,224,276.71,2018-07-25
PO-000182,VND-036,258,110,482.55,2018-09-05
PO-000183,VND-116,355,183,437.29,2016-02-04
PO-000184,VND-012,539,210,266,2020-10-13
PO-000185,VND-028,597,135,80.13,12/23/2015
PO-000186,VND-129,502,178,276,2022-10-11
PO-000187,VND-024,572,159,465.67,2014-07-24
PO-000188,VND-085,518,72,484.73,2023-02-17
PO-000189,VND-057,531,35,153.5,2019-09-29
PO-000190,VND-029,597,246,378.81,2023-06-19
PO-000191,VND-105,472,41,198.54,2021-10-14
PO-000192,VND-113,376,32,295.04,2018-11-10
PO-000193,VND-093,480,3,262.71,2015-08-14
PO-000194,VND-032,579,211,372.74,2025-02-05
PO-000195,VND-104,594,70,25,2012-07-30
PO-000196,VND-064,519,225,433.43,2016-09-23
PO-000197,VND-015,295,155,447,2017-07-12
PO-000198,VND-059,517,1.0,$421.95,2022-02-03
PO-000199,VND-046,517,65,47,2016-08-23
PO-000200,VND-068,442,171,498.66,11/21/2021
PO-000201,VND-117,554,133,N/A,2021-12-10
PO-000202,VND-082,574,148,483.53,2011-12-11
PO-000203,VND-084,517,184,176.92,01/05/2024
PO-000204,VND-072,237,209,$373.47,2021-05-02
PO-000205,VND-026,228,85,460.73,07/30/2011
PO-000206,VND-035,501,89,482.97,2021-03-29
PO-000207,VND-096,572,204,281.45,01/27/2012
PO-000208,VND-104,499,45,N/A,03/21/2018
PO-000209,VND-075,599,248,415.2,2018-06-27
PO-000210,VND-044,569,48,$105.06,01/10/2013
PO-000211,VND-112,522,194,88.43,2021-11-20
PO-000212,VND-070,589,76,$271.44,2015-04-04
PO-000213,VND-013,592,225,426.84,2012-09-14
PO-000214,VND-054,374,27,N/A,2018-08-18
PO-000215,VND-012,492,114,$126.72,2017-08-04
PO-000216,,444,57,116.79,2017-02-20
PO-000217,VND-041,472,220,419.78,2015-11-05
PO-000218,VND-027,515,133,315.49,05/13/2023
PO-000219,VND-097,503,68,185.43,09/07/2019
PO-000220,VND-049,284,35,414.59,2016-04-06
PO-000221,VND-014,539,138,404.59,2023-01-27
PO-000222,VND-089,551,58,289.26,2018-10-24
PO-000223,VND-082,521,5.4,226.99,2024-11-17
PO-000224,VND-097,380,2.2,146,2018-10-18
PO-000225,VND-067,520,242,201.14,2011-08-14
PO-000226,VND-093,487,146,$256.44,2017-12-13
PO-000227,VND-082,490,249,357.5,2023-02-07
PO-000228,VND-011,567,2.5,101.34,09/07/2013
PO-000229,VND-005,576,187,49.11,01/09/2015
PO-000230,VND-094,509,98,73.56,2023-11-16
PO-000231,VND-025,591,65,96.36,2013-02-24
PO-000232,VND-089,572,116,$264.31,2016-01-31
PO-000233,VND-129,255,25,481.98,2024-08-05
PO-000234,VND-043,231,146,430.38,02/08/2011
PO-000235,VND-068,404,250,436.69,03/25/2015
PO-000236,VND-025,522,226,$256.13,06/13/2024
PO-000237,,237,228,486,2020-12-25
PO-000238,VND-015,499,152,450.61,2017-12-28
PO-000239,VND-085,496,238,416.73,07/14/2024
PO-000240,VND-010,496,37,409.7,2013-08-11
PO-000241,VND-017,532,233,378.53,2020-01-25
PO-000242,VND-090,492,145,268.3,2022-08-29
PO-000243,VND-040,492,196,472.4,2023-04-03
PO-000244,VND-067,228,83,306.78,2020-10-04
PO-000245,VND-096,252,11,49.15,06/10/2017
PO-000246,VND-089,490,137,483.55,2023-10-24
PO-000247,VND-008,585,190,425.36,2018-11-21
PO-000248,VND-014,527,229,163.55,2012-01-02
PO-000249,VND-088,566,5.0,346.25,02/09/2022
PO-000250,VND-091,494,100,$189.03,02/08/2011
PO-000251,VND-083,473,67,,2012-01-02
PO-000252,VND-087,489,225,457.3,2023-10-18
PO-000253,VND-056,506,231,390.72,2011-03-25
PO-000254,VND-054,240,115,346.3,2011-03-27
PO-000255,VND-109,535,3.1,371.35,07/26/2013
PO-000256,VND-040,482,67,64.1,12/07/2019
PO-000257,VND-078,537,133,245,2015-07-14
PO-000258,VND-116,509,196,38.36,2013-07-01
PO-000259,VND-021,523,11,254.29,04/27/2019
PO-000260,VND-007,555,1.2,N/A,2015-09-20
PO-000261,VND-028,574,2.4,263,2014-12-08
PO-000262,VND-046,578,7,N/A,2015-02-16
PO-000263,VND-040,552,141,34,2016-07-06
PO-000264,VND-075,222,44,164.22,2012-06-17
PO-000265,VND-001,507,0.8,285.64,04/30/2013
PO-000266,,549,167,$240.83,2025-02-02
PO-000267,VND-085,509,192,247.83,2019-08-29
PO-000268,VND-022,526,93,147.0,2021-03-16
PO-000269,VND-023,504,111,$76.27,2019-09-18
PO-000270,VND-055,363,91,205.87,02/22/2023
PO-000271,VND-060,509,87,202.45,2021-05-01
PO-000272,VND-098,408,243,N/A,2015-08-14
PO-000273,VND-064,550,203,323.78,2024-11-17
PO-000274,VND-076,576,232,N/A,03/03/2014
PO-000275,VND-028,440,228,195.22,2024-12-26
PO-000276,VND-005,587,146,140.29,2015-01-17
PO-000277,VND-089,512,206,208.59,2023-08-21
PO-000278,VND-067,490,196,368.98,12/05/2013
PO-000279,VND-012,225,4.7,427.04,2013-03-06
PO-000280,VND-022,438,17,455.08,2019-01-01
PO-000281,VND-097,400,26,$84.11,01/06/2021
PO-000282,VND-075,568,144,237.44,08/30/2014
PO-000283,VND-091,380,25,$72.12,2016-08-05
PO-000284,VND-106,225,210,223.26,2019-07-05
PO-000285,VND-067,581,227,47.08,2021-01-12
PO-000286,VND-042,583,39,467.84,12/22/2014
PO-000287,VND-045,484,243,$180.58,06/03/2015
PO-000288,,561,44,130.09,2022-02-04
PO-000289,VND-005,535,43,123.21,2022-09-03
PO-000290,VND-047,240,195,331.41,2021-01-25
PO-000291,VND-086,214,5,103.82,2011-09-15
PO-000292,,582,97,402.56,09/17/2019
PO-000293,VND-047,372,185,100.49,2020-07-09
PO-000294,VND-092,290,234,256.85,2012-11-13
PO-000295,VND-015,472,96,288.09,2013-11-18
PO-000296,VND-002,595,4.5,N/A,2012-12-16
PO-000297,VND-062,571,202,308.22,2014-07-03
PO-000298,VND-102,287,184,6,2014-02-10
PO-000299,VND-098,287,161,240.64,2016-03-24
PO-000300,VND-026,530,174,431.14,2022-02-09
PO-000301,,402,68,273.29,05/21/2022
PO-000302,VND-011,408,83,$117.72,2013-10-12
PO-000303,VND-056,539,56,413.11,2024-04-14
PO-000304,,584,194,35.5,2022-11-25
PO-000305,VND-114,520,196,,2012-05-09
PO-000306,VND-106,502,156,37.61,2012-12-23
PO-000307,VND-102,532,77,$160.17,02/26/2018
PO-000308,VND-024,240,105,233.51,04/08/2015
PO-000309,VND-064,525,189,$212.7,2020-01-17
PO-000310,VND-052,571,94,396.73,2014-02-16
PO-000311,VND-026,440,101,139.09,2014-11-16
PO-000312,VND-042,550,49,363.25,2022-02-26
PO-000313,VND-092,255,28,165.02,2014-08-02
PO-000314,VND-072,536,107,478.64,2017-06-28
PO-000315,VND-094,568,32,267.17,2018-08-05
PO-000316,VND-120,363,249,13.77,2019-05-17
PO-000317,VND-045,586,224,,2016-07-09
PO-000318,VND-078,497,85,451.42,09/05/2021
PO-000319,VND-032,591,61,$128.3,2023-11-02
PO-000320,VND-014,508,160,266.97,2011-06-08
PO-000321,VND-124,418,71,185.07,12/19/2016
PO-000322,VND-088,210,212,283.13,08/16/2021
PO-000323,VND-044,564,52,$324.69,03/06/2018
PO-000324,VND-041,597,4.8,254.54,2024-05-27
PO-000325,VND-114,214,53,17.52,2019-06-08
PO-000326,VND-126,380,98,298.95,06/14/2020
PO-000327,VND-062,480,156,85.64,2013-06-01
PO-000328,VND-045,551,37,361.65,2011-05-19
PO-000329,VND-045,511,157,N/A,2025-02-07
PO-000330,VND-104,555,3.0,358.26,2017-05-06
PO-000331,VND-015,543,183,378.56,07/10/2012
PO-000332,VND-047,602,2.5,211.09,08/02/2018
PO-000333,VND-013,436,30,$434.99,2014-06-23
PO-000334,VND-078,228,4.6,25.99,2012-04-07
PO-000335,VND-020,538,100,$336.78,2016-03-20
PO-000336,VND-092,592,141,104.06,2017-06-30
PO-000337,VND-001,499,149,,2016-02-24
PO-000338,VND-022,547,3.6,136.5,2014-09-06
PO-000339,VND-028,603,86,449.47,2019-09-17
PO-000340,VND-061,564,172,205.82,2017-05-26
PO-000341,VND-015,600,53,287.25,2011-12-08
PO-000342,VND-114,487,14,118.76,10/22/2015
PO-000343,VND-005,489,4.6,N/A,2016-08-29
PO-000344,VND-062,510,43,,2019-09-19
PO-000345,VND-092,473,28,,05/20/2024
PO-000346,VND-004,480,78,365.73,11/21/2024
PO-000347,VND-103,575,109,189.55,2013-03-07
PO-000348,VND-006,359,68,466.46,07/03/2011
PO-000349,VND-088,600,203,465.87,2015-08-04
PO-000350,VND-099,467,227,280.94,2011-04-28
PO-000351,VND-100,587,17,191.83,2023-08-19
PO-000352,VND-056,400,148,,2020-09-12
PO-000353,VND-099,532,69,139.62,04/19/2017
PO-000354,VND-112,210,12,N/A,04/07/2016
PO-000355,VND-096,535,184,N/A,2020-10-06
PO-000356,VND-051,526,140,331.01,2019-03-02
PO-000357,VND-045,598,105,203.88,2023-05-11
PO-000358,VND-021,582,127,206.87,10/17/2018
PO-000359,VND-020,495,166,378.08,12/09/2012
PO-000360,VND-047,539,161,174.12,2014-09-07
PO-000361,VND-080,376,203,348.14,2014-07-30
PO-000362,VND-070,549,1.0,467.58,2020-05-25
PO-000363,VND-094,591,126,367.27,09/11/2014
PO-000364,VND-072,578,57,376.16,2023-04-20
PO-000365,VND-089,526,178,,2013-05-21
PO-000366,VND-070,353,235,475.3,2011-01-05
PO-000367,VND-029,548,244,$16.64,2020-02-09
PO-000368,VND-115,584,65,63.88,09/18/2013
PO-000369,,562,100,155.37,2020-01-15
PO-000370,VND-082,240,9,178.99,2021-09-24
PO-000371,VND-053,602,26,295.63,08/15/2021
PO-000372,VND-052,237,195,,2021-12-30
PO-000373,VND-034,595,162,,2023-03-13
PO-000374,VND-065,234,142,$428.05,2018-07-26
PO-000375,VND-094,363,173,$468.09,2020-03-17
PO-000376,VND-038,588,206,,2022-04-05
PO-000377,VND-018,588,45,,2012-02-04
PO-000378,,563,29,484.44,2014-08-26
PO-000379,VND-001,509,207,92.43,2021-10-24
PO-000380,VND-047,584,127,225.11,2017-10-12
PO-000381,VND-020,372,243,16.72,2013-08-09
PO-000382,,544,95,57.63,2020-08-23
PO-000383,VND-096,518,0.9,N/A,2017-04-03
PO-000384,VND-034,376,42,97.46,2021-08-24
PO-000385,VND-036,532,4.4,209.56,2023-03-31
PO-000386,VND-042,374,101,34.7,03/17/2016
PO-000387,VND-037,559,78,,2013-07-12
PO-000388,VND-110,438,122,110.99,2016-06-19
PO-000389,VND-076,281,33,N/A,2023-05-28
PO-000390,VND-011,554,161,$420.69,2012-07-11
PO-000391,VND-056,255,11,N/A,01/21/2016
PO-000392,VND-099,505,156,N/A,2011-08-15
PO-000393,VND-109,540,166,N/A,2013-11-09
PO-000394,VND-040,537,111,211.57,2016-05-31
PO-000395,VND-007,504,72,404.37,04/07/2014
PO-000396,VND-084,493,219,266,2017-10-22
PO-000397,VND-094,564,202,237.32,2024-03-22
PO-000398,VND-075,542,17,137.76,2021-12-25
PO-000399,VND-032,490,83,,2017-06-25
PO-000400,VND-027,495,106,300.89,2018-10-26
PO-000401,VND-108,376,177,345.12,2015-03-23
PO-000402,VND-029,528,45,362.76,2023-03-05
PO-000403,VND-109,572,47,,07/16/2016
PO-000404,VND-066,593,146,173.99,2019-05-30
PO-000405,VND-052,550,1,406.94,2012-08-13
PO-000406,VND-077,559,131,103.6,2022-02-07
PO-000407,VND-067,562,112,64.13,2020-08-04
PO-000408,VND-008,240,72,269.94,2019-02-08
PO-000409,VND-094,518,229,34.64,2013-02-24
PO-000410,VND-040,520,57,287.46,2025-01-01
PO-000411,VND-033,382,3.4,$90.06,05/25/2023
PO-000412,VND-085,222,24,309.0,08/06/2019
PO-000413,VND-034,514,118,446.48,11/27/2021
PO-000414,VND-033,581,149,N/A,04/08/2017
PO-000415,VND-014,287,114,370.89,2021-01-02
PO-000416,VND-003,548,53,,2024-10-17
PO-000417,VND-003,537,100,N/A,2022-10-02
PO-000418,VND-011,563,175,395.09,2019-05-14
PO-000419,VND-038,473,231,302.22,2018-01-18
PO-000420,VND-079,472,17,401.05,2011-07-18
PO-000421,VND-003,535,115,,2018-09-28
PO-000422,VND-037,503,67,88.43,09/19/2016
PO-000423,VND-112,430,98,381.55,2022-08-07
PO-000424,VND-096,551,0.9,236,2014-07-24
PO-000425,VND-038,406,80,38.06,03/06/2014
PO-000426,VND-132,599,141,214.52,2024-12-04
PO-000427,VND-028,564,18,$138.18,05/21/2011
PO-000428,VND-064,551,186,269.16,2022-12-23
PO-000429,VND-024,606,209,254.73,2011-03-13
PO-000430,VND-065,384,62,N/A,01/10/2014
PO-000431,VND-064,472,182,127.87,2023-11-15
PO-000432,VND-124,374,2.8,$340.38,2011-12-13
PO-000433,VND-073,529,242,394.26,2023-02-22
PO-000434,VND-073,514,220,403.4,2020-02-02
PO-000435,VND-117,486,232,191.09,2024-06-14
PO-000436,VND-104,222,199,77.85,01/20/2018
PO-000437,VND-042,511,5,,02/19/2014
PO-000438,VND-064,592,226,69.55,09/02/2016
PO-000439,VND-088,306,14,455.15,07/03/2016
PO-000440,VND-121,500,142,467.32,09/20/2020
PO-000441,VND-122,418,130,496.09,2021-10-02
PO-000442,VND-005,540,134,226.94,2023-08-06
PO-000443,VND-086,493,14,$294.88,09/30/2024
PO-000444,VND-071,237,141,285.34,2021-12-07
PO-000445,VND-052,494,113,319.43,2014-06-10
PO-000446,VND-053,480,11,11.0,2015-05-28
PO-000447,VND-057,382,146,458.46,2020-05-20
PO-000448,VND-006,477,202,236.81,06/26/2012
PO-000449,VND-092,527,88,489.83,01/25/2022
PO-000450,VND-077,599,171,82.02,2016-10-15
PO-000451,VND-038,562,63,16.0,2024-03-24
PO-000452,VND-042,537,104,297.89,05/12/2018
PO-000453,VND-021,552,201,478.31,2016-10-11
PO-000454,VND-096,548,106,212.55,2014-06-09
PO-000455,VND-086,533,170,160.41,10/26/2012
PO-000456,VND-059,384,8,188.34,2020-10-08
PO-000457,VND-067,511,104,121.38,2021-11-29
PO-000458,VND-083,493,219,45.64,09/12/2014
PO-000459,VND-058,536,240,418,2011-03-11
PO-000460,VND-001,530,35,422.57,2014-05-29
PO-000461,VND-013,240,80,24.28,2019-01-05
PO-000462,VND-115,418,230,496.77,2011-11-20
PO-000463,VND-117,544,157,37.15,2024-04-22
PO-000464,VND-107,589,128,346.07,2016-10-30
PO-000465,VND-095,531,92,161,2018-08-06
PO-000466,VND-033,489,54,78.62,2019-12-30
PO-000467,VND-140,359,115,362.77,2012-10-12
PO-000468,VND-081,471,112,465.29,2018-06-18
PO-000469,VND-042,591,122,185.28,2023-05-20
PO-000470,VND-017,474,209,330.87,2018-09-27
PO-000471,VND-114,493,182,160.82,04/04/2018
PO-000472,VND-026,211,43,217,2023-09-16
PO-000473,VND-020,471,127,469,2018-07-03
PO-000474,VND-106,214,183,309.36,2015-01-18
PO-000475,VND-115,538,38,331.04,2013-05-06
PO-000476,VND-054,545,157,,2022-04-29
PO-000477,VND-099,561,138,238,2011-11-19
PO-000478,,560,203,415.63,2018-06-17
PO-000479,VND-084,556,81,N/A,2021-05-25
PO-000480,VND-090,237,172,,2016-12-08
PO-000481,,463,5.2,201.51,2016-12-13
PO-000482,VND-038,547,140,13,2012-09-15
PO-000483,VND-091,249,149,332.34,2017-11-13
PO-000484,VND-053,553,46,104.13,2013-08-07
PO-000485,VND-034,532,1.1,132.81,2012-10-14
PO-000486,VND-058,434,93,466.21,2016-10-07
PO-000487,VND-088,261,40,N/A,03/01/2023
PO-000488,VND-010,604,248,383.63,2011-01-28
PO-000489,VND-107,546,32,309.11,03/23/2022
PO-000490,VND-049,402,49,128.89,2018-12-28
PO-000491,VND-109,606,17,174.34,2024-11-29
PO-000492,VND-104,571,88,N/A,12/30/2022
PO-000493,VND-071,513,49,244.29,2020-09-12
PO-000494,VND-102,463,240,,2012-07-02
PO-000495,VND-089,504,11,98.1,2021-04-08
PO-000496,VND-051,576,192,N/A,05/21/2011
PO-000497,VND-117,303,144,$298.48,2021-05-24
PO-000498,VND-099,604,160,$394.14,2023-06-01
PO-000499,VND-115,518,220,469.83,2016-07-08
PO-000500,VND-114,507,72,208.95,2014-01-26
PO-000501,VND-068,488,105,490.72,2022-11-28
PO-000502,VND-073,564,26,52.1,2013-02-01
PO-000503,VND-018,404,150,$119.6,2018-06-27
PO-000504,VND-119,287,141,450,2023-05-05
PO-000505,VND-091,486,104,$25.17,08/31/2017
PO-000506,VND-046,478,36,474.75,2020-06-04
PO-000507,VND-007,530,104,135.82,2013-05-25
PO-000508,VND-034,287,48,286.66,08/03/2023
PO-000509,VND-065,440,33,478.86,02/23/2025
PO-000510,VND-056,211,225,398.36,06/07/2022
PO-000511,VND-033,255,157,100.27,2015-03-17
PO-000512,VND-082,515,74,310.11,09/21/2018
PO-000513,VND-084,537,1.1,374.66,2020-06-04
PO-000514,VND-089,558,172,356.98,2023-12-07
PO-000515,VND-100,281,35,146,08/09/2016
PO-000516,,436,213,209.61,2023-11-20
PO-000517,VND-099,575,223,488.74,2021-01-10
PO-000518,VND-060,579,163,197.66,2022-08-21
PO-000519,VND-038,521,0.5,35.4,06/11/2016
PO-000520,VND-073,484,29,,2012-05-03
PO-000521,VND-106,217,196,295.31,2017-04-07
PO-000522,VND-095,480,247,84.43,2016-01-12
PO-000523,,467,99,474.52,2013-12-29
PO-000524,VND-099,504,177,431.69,2014-03-31
PO-000525,VND-003,258,227,449.89,2017-12-16
PO-000526,VND-092,552,148,$267.31,2016-06-24
PO-000527,VND-001,382,84,$385.99,2022-02-23
PO-000528,,418,188,383.26,2018-08-27
PO-000529,VND-087,512,246,284.19,2017-02-05
PO-000530,VND-034,493,2.1,124.38,2021-08-01
PO-000531,VND-078,222,27,72.81,2016-02-08
PO-000532,VND-056,546,19,494.94,2011-12-26
PO-000533,VND-030,440,10,459.51,2014-01-16
PO-000534,VND-061,436,237,63.8,04/16/2017
PO-000535,VND-087,604,122,272.83,2024-06-02
PO-000536,VND-067,440,228,48.91,2011-02-22
PO-000537,VND-058,588,92,$280.36,2023-11-29
PO-000538,VND-080,225,50,82.69,2013-03-09
PO-000539,VND-029,430,118,227.49,2015-01-09
